"filename", "language", "Python", "SQL", "SVG", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\static\css\tool\bootstrap-datetimepicker.css", "CSS", 0, 0, 0, 0, 0, 2, 8, 1, 11
"d:\Desktop\LabWeb\LabWebProject\static\css\tool\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 846, 9, 1, 856
"d:\Desktop\LabWeb\LabWebProject\static\js\self\404.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 14
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNews.js", "JavaScript", 0, 0, 0, 0, 48, 0, 0, 1, 49
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNewsDetail.js", "JavaScript", 0, 0, 0, 0, 176, 0, 0, 11, 187
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminSlider.js", "JavaScript", 0, 0, 0, 0, 145, 0, 0, 23, 168
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminUser.js", "JavaScript", 0, 0, 0, 0, 78, 0, 0, 3, 81
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminUserDetail.js", "JavaScript", 0, 0, 0, 0, 179, 0, 0, 8, 187
"d:\Desktop\LabWeb\LabWebProject\static\js\self\footer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\LabWeb\LabWebProject\static\js\self\main.js", "JavaScript", 0, 0, 0, 0, 222, 0, 7, 20, 249
"d:\Desktop\LabWeb\LabWebProject\static\js\self\navigation.js", "JavaScript", 0, 0, 0, 0, 163, 0, 0, 12, 175
"d:\Desktop\LabWeb\LabWebProject\static\js\self\signIn.js", "JavaScript", 0, 0, 0, 0, 345, 0, 0, 28, 373
"d:\Desktop\LabWeb\LabWebProject\static\js\self\slider.js", "JavaScript", 0, 0, 0, 0, 125, 0, 0, 13, 138
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap-datepicker-zh-CN.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap-datepicker.js", "JavaScript", 0, 0, 0, 0, 2, 0, 5, 1, 8
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap-datetimepicker-zh-CN.js", "JavaScript", 0, 0, 0, 0, 12, 0, 4, 1, 17
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap-datetimepicker.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap.js", "JavaScript", 0, 0, 0, 0, 1, 0, 6, 0, 7
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\jquery-3-7-1.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 1, 3
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\sweetalert2.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\Desktop\LabWeb\LabWebProject\static\svg\404.svg", "SVG", 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\Desktop\LabWeb\LabWebProject\static\svg\achievement.svg", "SVG", 0, 0, 5, 0, 0, 0, 1, 0, 6
