Date : 2024-02-02 12:37:30
Directory : d:\Desktop\LabWeb\LabWebProject
Total : 81 files,  7199 codes, 71 comments, 701 blanks, all 7971 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         14 |      3,589 |         17 |        391 |      3,997 |
| JavaScript |         18 |      1,515 |         23 |        123 |      1,661 |
| Python     |         22 |        967 |         25 |        178 |      1,170 |
| HTML       |         11 |        892 |          2 |          3 |        897 |
| SVG        |         15 |        236 |          4 |          5 |        245 |
| SQL        |          1 |          0 |          0 |          1 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |         81 |      7,199 |         71 |        701 |      7,971 |
| . (Files)                                                                                    |          2 |         17 |          1 |          6 |         24 |
| LabWebApp                                                                                    |         16 |        823 |          8 |        114 |        945 |
| LabWebApp (Files)                                                                            |          8 |        687 |          1 |         70 |        758 |
| LabWebApp\migrations                                                                         |          8 |        136 |          7 |         44 |        187 |
| LabWebProject                                                                                |          5 |        127 |         16 |         59 |        202 |
| static                                                                                       |         47 |      5,340 |         44 |        519 |      5,903 |
| static\css                                                                                   |         14 |      3,589 |         17 |        391 |      3,997 |
| static\css\self                                                                              |         12 |      2,741 |          0 |        389 |      3,130 |
| static\css\tool                                                                              |          2 |        848 |         17 |          2 |        867 |
| static\js                                                                                    |         18 |      1,515 |         23 |        123 |      1,661 |
| static\js\self                                                                               |         11 |      1,495 |          7 |        120 |      1,622 |
| static\js\tool                                                                               |          7 |         20 |         16 |          3 |         39 |
| static\svg                                                                                   |         15 |        236 |          4 |          5 |        245 |
| templates                                                                                    |         11 |        892 |          2 |          3 |        897 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                     | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\__init__.py                                        | Python     |          0 |          0 |          1 |          1 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\admin.py                                           | Python     |          4 |          0 |          3 |          7 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\apps.py                                            | Python     |          4 |          0 |          3 |          7 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0001_initial.py                         | Python     |         55 |          1 |          7 |         63 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0002_auto_20231013_1256.py              | Python     |         17 |          1 |          6 |         24 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0003_remove_students_student_address.py | Python     |         11 |          1 |          6 |         18 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0004_rename_students_student.py         | Python     |         11 |          1 |          6 |         18 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0005_student_student_show.py            | Python     |         13 |          1 |          6 |         20 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0006_slider.py                          | Python     |         17 |          1 |          6 |         24 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0007_alter_slider_slider_title.py       | Python     |         12 |          1 |          6 |         19 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\__init__.py                             | Python     |          0 |          0 |          1 |          1 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\models.py                                          | Python     |         43 |          0 |          8 |         51 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\tests.py                                           | Python     |          1 |          1 |          2 |          4 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\urls.py                                            | Python     |         17 |          0 |          2 |         19 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\util.py                                            | Python     |         37 |          0 |         12 |         49 |
| d:\Desktop\LabWeb\LabWebProject\LabWebApp\views.py                                           | Python     |        581 |          0 |         39 |        620 |
| d:\Desktop\LabWeb\LabWebProject\LabWebProject\__init__.py                                    | Python     |          0 |          0 |          1 |          1 |
| d:\Desktop\LabWeb\LabWebProject\LabWebProject\asgi.py                                        | Python     |         10 |          0 |          7 |         17 |
| d:\Desktop\LabWeb\LabWebProject\LabWebProject\settings.py                                    | Python     |         89 |         16 |         40 |        145 |
| d:\Desktop\LabWeb\LabWebProject\LabWebProject\urls.py                                        | Python     |         18 |          0 |          4 |         22 |
| d:\Desktop\LabWeb\LabWebProject\LabWebProject\wsgi.py                                        | Python     |         10 |          0 |          7 |         17 |
| d:\Desktop\LabWeb\LabWebProject\db.sqlite3                                                   | SQL        |          0 |          0 |          1 |          1 |
| d:\Desktop\LabWeb\LabWebProject\manage.py                                                    | Python     |         17 |          1 |          5 |         23 |
| d:\Desktop\LabWeb\LabWebProject\static\css\self\404.css                                      | CSS        |        104 |          0 |         15 |        119 |
